Sequence,Problem Statement
Prog. 052,Write a function to caluclate area of a parallelogram.
Prog. 053,Write a python function to check whether the first and last characters of a given string are equal or not.
Prog. 054,Write a function to sort the given array by using counting sort.
Prog. 055,Write a function to find t-nth term of geometric series.
Prog. 056,Write a python function to check if a given number is one less than twice its reverse.
Prog. 057,Write a python function to find the largest number that can be formed with the given digits.
Prog. 058,Write a python function to check whether the given two integers have opposite sign or not.
Prog. 059,Write a function to find the nth octagonal number.
Prog. 060,Write a function to find the maximum length of the subsequence with difference between adjacent elements for the given array.
Prog. 061,Write a python function to count number of substrings with the sum of digits equal to their length.
Prog. 062,Write a python function to find smallest number in a list.
Prog. 063,Write a function to find the maximum difference between available pairs in the given tuple list.
Prog. 064,Write a function to sort a list of tuples using lambda.
Prog. 065,Write a function of recursion list sum.
Prog. 066,Write a python function to count positive numbers in a list.
Prog. 067,Write a function to find the number of ways to partition a set of bell numbers.
Prog. 068,Write a python function to check whether the given array is monotonic or not.
Prog. 069,Write a function to check whether a list contains the given sublist or not.
Prog. 070,Write a function to find whether all the given tuples have equal length or not.
Prog. 071,Write a function to sort a list of elements using comb sort.
Prog. 072,Write a python function to check whether the given number can be represented as difference of two squares or not.
Prog. 073,Write a function to split the given string with multiple delimiters by using regex.
Prog. 074,Write a function to check whether it follows the sequence given in the patterns array.
Prog. 075,Write a function to find tuples which have all elements divisible by k from the given list of tuples.
Prog. 076,Write a python function to count the number of squares in a rectangle.
Prog. 077,Write a python function to find the difference between sum of even and odd digits.
Prog. 078,Write a python function to find number of integers with odd number of set bits.
Prog. 079,Write a python function to check whether the length of the word is odd or not.
Prog. 080,Write a function to find the nth tetrahedral number.
Prog. 081,Write a function to zip the two given tuples.
Prog. 082,Write a function to find the volume of a sphere.
Prog. 083,Write a python function to find the character made by adding all the characters of the given string.
Prog. 084,Write a function to find the n-th number in newman conway sequence.
Prog. 085,Write a function to find the surface area of a sphere.
Prog. 086,Write a function to find nth centered hexagonal number.
Prog. 087,Write a function to merge three dictionaries into a single expression.
Prog. 088,Write a function to get the frequency of the elements in a list.
Prog. 089,Write a function to find the closest smaller number than n.
Prog. 090,Write a python function to find the length of the longest word.
Prog. 091,Write a function to check if a substring is present in a given list of string values.
Prog. 092,Write a function to check whether the given number is undulating or not.
Prog. 093,Write a function to calculate the value of 'a' to the power 'b'.
Prog. 094,Write a function to extract the index minimum value record from the given tuples.
Prog. 095,Write a python function to find the minimum length of sublist.
Prog. 096,Write a python function to find the number of divisors of a given integer.
Prog. 097,Write a function to find frequency count of list of lists.
Prog. 098,Write a function to multiply all the numbers in a list and divide with the length of the list.
Prog. 099,Write a function to convert the given decimal number to its binary equivalent.
Prog. 100,Write a function to find the next smallest palindrome of a specified number.
Prog. 101,Write a function to find the kth element in the given array.
Prog. 102,Write a function to convert snake case string to camel case string.
Prog. 103,"Write a function to find eulerian number a(n, m)."
Prog. 104,Write a function to sort each sublist of strings in a given list of lists using lambda function.
Prog. 105,Write a python function to count true booleans in the given list.
Prog. 106,Write a function to add the given list to the given tuples.
Prog. 107,Write a python function to count hexadecimal numbers for a given range.
Prog. 108,Write a function to merge multiple sorted inputs into a single sorted iterator using heap queue algorithm.
Prog. 109,Write a python function to find the count of rotations of a binary string with odd value.
Prog. 110,Write a function to extract the ranges that are missing from the given list with the given start range and end range values.
Prog. 111,Write a function to find common elements in given nested lists. * list item * list item * list item * list item
Prog. 112,Write a python function to find the perimeter of a cylinder.
Prog. 113,Write a function to check if a string represents an integer or not.
Prog. 114,Write a function to assign frequency to each tuple in the given tuple list.
Prog. 115,Write a function to check whether all dictionaries in a list are empty or not.
Prog. 116,Write a function to convert a given tuple of positive integers into an integer.
Prog. 117,Write a function to convert all possible convertible elements in the list to float.
Prog. 118,[link text](https:// [link text](https:// [link text](https://)))write a function to convert a string to a list.
Prog. 119,Write a python function to find the element that appears only once in a sorted array.
Prog. 120,Write a function to find the maximum product from the pairs of tuples within a given list.
Prog. 121,Write a function to find the triplet with sum of the given array
Prog. 122,Write a function to find n\u2019th smart number.
Prog. 123,Write a function to sum all amicable numbers from 1 to a specified number.
Prog. 124,Write a function to get the angle of a complex number.
Prog. 125,Write a function to find the maximum difference between the number of 0s and number of 1s in any sub-string of the given binary string.
Prog. 126,Write a python function to find the sum of common divisors of two given numbers.
Prog. 127,Write a function to multiply two integers without using the * operator in python.
Prog. 128,Write a function to shortlist words that are longer than n from a given list of words.
Prog. 129,Write a function to calculate magic square.
Prog. 130,Write a function to find the item with maximum frequency in a given list.
Prog. 131,Write a python function to reverse only the vowels of a given string.
Prog. 132,Write a function to convert tuple to a string.
Prog. 133,Write a function to calculate the sum of the negative numbers of a given list of numbers using lambda function.
Prog. 134,Write a python function to check whether the last element of given array is even or odd after performing an operation p times.
Prog. 135,Write a function to find the nth hexagonal number.
Prog. 136,Write a function to calculate electricity bill.
Prog. 137,Write a function to find the ration of zeroes in an array of integers.
Prog. 138,Write a python function to check whether the given number can be represented as sum of non-zero powers of 2 or not.
Prog. 139,Write a function to find the circumference of a circle.
Prog. 140,Write a function to extract elements that occur singly in the given tuple list.
Prog. 141,Write a function to sort a list of elements using pancake sort.
Prog. 142,Write a function to count the same pair in three given lists.
Prog. 143,Write a function to find number of lists present in the given tuple.
Prog. 144,Write a python function to find the sum of absolute differences in all pairs of the given array.
Prog. 145,Write a python function to find the maximum difference between any two elements in a given array.
Prog. 146,Write a function to find the ascii value of total characters in a string.
Prog. 147,Write a function to find the maximum total path sum in the given triangle.
Prog. 148,Write a function to divide a number into two parts such that the sum of digits is maximum.
Prog. 149,Write a function to find the longest subsequence such that the difference between adjacents is one for the given array.
Prog. 150,Write a python function to find whether the given number is present in the infinite sequence or not.
Prog. 151,Write a python function to check whether the given number is co-prime or not.
Prog. 152,Write a function to sort the given array by using merge sort.
Prog. 153,Write a function to find the vertex of a parabola.
Prog. 154,Write a function to extract every specified element from a given two dimensional list.
Prog. 155,Write a python function to toggle all even bits of a given number.
Prog. 156,Write a function to convert a tuple of string values to a tuple of integer values.
Prog. 157,Write a function to reflect the run-length encoding from a list.
Prog. 158,Write a python function to find k number of operations required to make all elements equal.
Prog. 159,Write a function to print the season for the given month and day.
Prog. 160,Write a function to find x and y that satisfies ax + by = n.
Prog. 161,Write a function to remove all elements from a given list present in another list.
Prog. 162,Write a function to calculate the sum of the positive integers of n+(n-2)+(n-4)... (until n-x =< 0).
Prog. 163,Write a function to calculate the area of a regular polygon.
Prog. 164,Write a python function to check whether the sum of divisors are same or not.
Prog. 165,Write a python function to count characters at same position in a given string (lower and uppercase characters) as in english alphabet.
Prog. 166,Write a python function to count the pairs with xor as an even number.
Prog. 167,Write a python function to find smallest power of 2 greater than or equal to n.
Prog. 168,Write a python function to find the frequency of a number in a given array.
Prog. 169,Write a function to calculate the nth pell number.
Prog. 170,Write a function to find sum of the numbers in a list between the indices of a specified range.
Prog. 171,Write a function to find the perimeter of a pentagon.
Prog. 172,Write a function to find the occurence of characters 'std' in the given string 1. list item 1. list item 1. list item 2. list item 2. list item 2. list item
Prog. 173,Write a function to remove everything except alphanumeric characters from a string.
Prog. 174,Write a function to group a sequence of key-value pairs into a dictionary of lists.
Prog. 175,Write a function to verify validity of a string of parentheses.
Prog. 176,Write a function to find the perimeter of a triangle.
Prog. 177,Write a python function to find two distinct numbers such that their lcm lies within the given range.
Prog. 178,Write a function to search some literals strings in a string.
Prog. 179,Write a function to find if the given number is a keith number or not.
Prog. 180,Write a function to calculate distance between two points using latitude and longitude.
Prog. 181,Write a function to find the longest common prefix in the given set of strings.
Prog. 182,"Write a function to find uppercase, lowercase, special character and numeric values using regex."
Prog. 183,Write a function to count all the distinct pairs having a difference of k in any array.
Prog. 184,Write a function to find all the values in a list that are greater than a specified number.
Prog. 185,Write a function to find the focus of a parabola.
Prog. 186,Write a function to search some literals strings in a string by using regex.
Prog. 187,Write a function to find the longest common subsequence for the given two sequences.
Prog. 188,Write a python function to check whether the given number can be represented by product of two squares or not.
Prog. 189,Write a python function to find the first missing positive number.
Prog. 190,Write a python function to count the number of integral co-ordinates that lie inside a square.
Prog. 191,Write a function to check whether the given month name contains 30 days or not.
Prog. 192,Write a python function to check whether a string has atleast one letter and one number.
Prog. 193,Write a function to remove the duplicates from the given tuple.
Prog. 194,Write a python function to convert octal number to decimal number.
Prog. 195,Write a python function to find the first position of an element in a sorted array.
Prog. 196,Write a function to remove all the tuples with length k.
Prog. 197,Write a function to perform the exponentiation of the given two tuples.
Prog. 198,Write a function to find the largest triangle that can be inscribed in an ellipse.
Prog. 199,Write a python function to find highest power of 2 less than or equal to given number.
Prog. 200,Write a function to find all index positions of the maximum values in a given list.
Prog. 201,Write a python function to check whether the elements in a list are same or not.
Prog. 202,Write a function to remove even characters in a string.
Prog. 203,Write a python function to find the hamming distance between given two integers.
Prog. 204,Write a python function to count the occurrence of a given character in a string.
Prog. 205,Write a function to find the inversions of tuple elements in the given tuple list.
Prog. 206,Write a function to perform the adjacent element concatenation in the given tuples.
Prog. 207,Write a function to count the longest repeating subsequences such that the two subsequences don\u2019t have same string characters at same positions.
Prog. 208,Write a function to check the given decimal with a precision of 2 by using regex.
Prog. 209,Write a function to delete the smallest element from the given heap and then insert a new item.
Prog. 210,"Write a function to check that the given string contains only a certain set of characters(in this case a-z, a-z and 0-9) by using regex."
Prog. 211,Write a python function to count numbers whose oth and nth bits are set.
Prog. 212,Write a python function to find the sum of fourth power of n natural numbers.
Prog. 213,Write a function to perform the concatenation of two string tuples.
Prog. 214,Write a function to convert radians to degrees.
Prog. 215,Write a function to decode a run-length encoded given list.
Prog. 216,Write a function to check if a nested list is a subset of another nested list.
Prog. 217,Write a python function to find the first repeated character in a given string.
Prog. 218,Write a python function to find the minimum operations required to make two numbers equal.
Prog. 219,Write a function to extract maximum and minimum k elements in the given tuple.
Prog. 220,"Write a function to replace maximum n occurrences of spaces, commas, or dots with a colon."
Prog. 221,Write a python function to find the first even number in a given list of numbers.
Prog. 222,Write a function to check if all the elements in tuple have same data type or not.
Prog. 223,Write a function to check for majority element in the given sorted array.
Prog. 224,Write a python function to count set bits of a given number.
Prog. 225,Write a python function to find the minimum element in a sorted and rotated array.
Prog. 226,Write a python function to remove the characters which have odd index values of a given string.
Prog. 227,Write a function to find minimum of three numbers.
Prog. 228,Write a python function to check whether all the bits are unset in the given range or not.
Prog. 229,Write a function to re-arrange the elements of the given array so that all negative elements appear before positive ones.
Prog. 230,Write a function to replace blank spaces with any character in a string.
Prog. 231,Write a function to find the maximum sum in the given right triangle of numbers.
Prog. 232,Write a function to get the n largest items from a dataset.
Prog. 233,Write a function to find the lateral surface area of a cylinder.
Prog. 234,Write a function to find the volume of a cube.
Prog. 235,Write a python function to set all even bits of a given number.
Prog. 236,Write a python function to count the maximum number of equilateral triangles that can be formed within a given equilateral triangle.
Prog. 237,Write a function to check the occurrences of records which occur similar times in the given tuples.
Prog. 238,Write a python function to count number of non-empty substrings of a given string.
Prog. 239,Write a function to find the number of possible sequences of length n such that each of the next element is greater than or equal to twice of the previous element but less than or equal to m.
Prog. 240,Write a function to replace the last element of the list with another list.
Prog. 241,Write a function to generate a 3d array having each element as '*'.
Prog. 242,Write a function to count total characters in a string.
Prog. 243,Write a function to sort the given list based on the occurrence of first element of tuples.
Prog. 244,Write a python function to find the next perfect square greater than a given number.
Prog. 245,Write a function to find the maximum sum of bi-tonic sub-sequence for the given array.
Prog. 246,Write a function for computing square roots using the babylonian method.
Prog. 247,Write a function to find the longest palindromic subsequence in the given string.
Prog. 248,Write a function to calculate the harmonic sum of n-1.
Prog. 249,Write a function to find the intersection of two arrays using lambda function.
Prog. 250,Write a python function to count the occcurences of an element in a tuple.
Prog. 251,Write a function to insert an element before each element of a list.
Prog. 252,Write a python function to convert complex numbers to polar coordinates.
Prog. 253,Write a python function to count integers from a given list.
Prog. 254,Write a function to find all words starting with 'a' or 'e' in a given string.
Prog. 255,Write a function to choose specified number of colours from three different colours and generate all the combinations with repetitions.
Prog. 256,Write a python function to count the number of prime numbers less than a given non-negative number.
Prog. 257,Write a function to swap two numbers.
Prog. 258,Write a function to find number of odd elements in the given list using lambda function.
Prog. 259,Write a function to maximize the given two tuples.
Prog. 260,Write a function to find the nth newman\u2013shanks\u2013williams prime number.
Prog. 261,Write a function to perform mathematical division operation across the given tuples.
Prog. 262,Write a function to split a given list into two parts where the length of the first part of the list is given.
Prog. 263,Write a function to merge two dictionaries.
Prog. 264,Write a function to calculate a dog's age in dog's years.
Prog. 265,Write a function to split a list for every nth element.
Prog. 266,Write a function to find the lateral surface area of a cube.
Prog. 267,Write a python function to find the sum of squares of first n odd natural numbers.
Prog. 268,Write a function to find the n'th star number.
Prog. 269,Write a function to find the ascii value of a character.
Prog. 270,Write a python function to find the sum of even numbers at even positions.
Prog. 271,Write a python function to find the sum of fifth power of first n even natural numbers.
Prog. 272,Write a function to perfom the rear element extraction from list of tuples records.
Prog. 273,Write a function to substract the contents of one tuple with corresponding index of other tuple.
Prog. 274,Write a python function to find sum of even index binomial coefficients.
Prog. 275,Write a python function to find the position of the last removed element from the given array.
Prog. 276,Write a function to find the volume of a cylinder.
Prog. 277,Write a function to filter a dictionary based on values.
Prog. 278,Write a function to find the element count that occurs before the record in the given tuple.
Prog. 279,Write a function to find the nth decagonal number.
Prog. 280,Write a function to search an element in the given array by using sequential search.
Prog. 281,Write a python function to check if the elements of a given list are unique or not.
Prog. 282,Write a function to substaract two lists using map and lambda function.
Prog. 283,Write a python function to check whether the frequency of each digit is less than or equal to the digit itself.
Prog. 284,Write a function to check whether all items of a list are equal to a given string.
Prog. 285,Write a function that matches a string that has an a followed by two to three 'b'.
Prog. 286,Write a function to find the largest sum of contiguous array in the modified array which is formed by repeating the given array k times.
Prog. 287,Write a python function to find the sum of squares of first n even natural numbers.
Prog. 288,Write a function to count array elements having modular inverse under given prime number p equal to itself.
Prog. 289,Write a python function to calculate the number of odd days in a given year.
Prog. 290,Write a function to find the list of lists with maximum length.
Prog. 291,Write a function to find out the number of ways of painting the fence such that at most 2 adjacent posts have the same color for the given fence with n posts and k colors.
Prog. 292,Write a python function to find quotient of two numbers.
Prog. 293,Write a function to find the third side of a right angled triangle.
Prog. 294,Write a function to find the maximum value in a given heterogeneous list.
Prog. 295,Write a function to return the sum of all divisors of a number.
Prog. 296,Write a python function to count inversions in an array.
Prog. 297,Write a function to flatten a given nested list structure.
Prog. 298,Write a function to find the nested list elements which are present in another list.
Prog. 299,Write a function to calculate the maximum aggregate from the list of tuples.
Prog. 300,Write a function to find the count of all binary sequences of length 2n such that sum of first n bits is same as sum of last n bits.
Prog. 301,Write a function to find the depth of a dictionary.
Prog. 302,Write a python function to find the most significant bit number which is also a set bit.
Prog. 303,Write a python function to check whether the count of inversion of two types are same or not.
Prog. 304,Write a python function to find element at a given index after number of rotations.
Prog. 305,Write a function to match two words from a list of words starting with letter 'p'.
Prog. 306,"Write a function to find the maximum sum of increasing subsequence from prefix till ith index and also including a given kth element which is after i, i.e., k > i ."
Prog. 307,Write a function to get a colon of a tuple.
Prog. 308,Write a function to find the specified number of largest products from two given lists.
Prog. 309,Write a python function to find the maximum of two numbers.
Prog. 310,Write a function to convert a given string to a tuple.
Prog. 311,Write a python function to set the left most unset bit.
Prog. 312,Write a function to find the volume of a cone.
Prog. 313,Write a python function to print positive numbers in a list.
Prog. 314,Write a function to find out the maximum sum such that no two chosen numbers are adjacent for the given rectangular grid of dimension 2 x n.
Prog. 315,Write a python function to find the first maximum length of even word.
Prog. 316,Write a function to find the index of the last occurrence of a given number in a sorted array.
Prog. 317,Write a function to reflect the modified run-length encoding from a list.
Prog. 318,Write a python function to find the maximum volume of a cuboid with given sum of sides.
Prog. 319,Write a function to find all five characters long word in the given string by using regex.
Prog. 320,Write a function to calculate the difference between the squared sum of first n natural numbers and the sum of squared first n natural numbers.
Prog. 321,Write a function to find the demlo number for the given number.
Prog. 322,Write a function to find all index positions of the minimum values in a given list.
Prog. 323,Write a function to re-arrange the given array in alternating positive and negative items.
Prog. 324,Write a function to extract the sum of alternate chains of tuples.
Prog. 325,Write a python function to find the minimum number of squares whose sum is equal to a given number.
Prog. 326,Write a function to get the word with most number of occurrences in the given strings list.
Prog. 327,Write a function to print check if the triangle is isosceles or not.
Prog. 328,Write a function to rotate a given list by specified number of items to the left direction.
Prog. 329,Write a python function to count negative numbers in a list.
Prog. 330,"Write a function to find all three, four, five characters long words in the given string by using regex."
Prog. 331,Write a python function to count unset bits of a given number.
Prog. 332,Write a function to count character frequency of a given string.
Prog. 333,Write a python function to sort a list according to the second element in sublist.
Prog. 334,Write a python function to check whether the triangle is valid or not if sides are given.
Prog. 335,Write a function to find the sum of arithmetic progression.
Prog. 336,Write a function to check whether the given month name contains 28 days or not.
Prog. 337,"Write a function that matches a word at the end of a string, with optional punctuation."
Prog. 338,Write a python function to count the number of substrings with same first and last characters.
Prog. 339,Write a python function to find the maximum occuring divisor in an interval.
Prog. 340,Write a python function to find the sum of the three lowest positive numbers from a given list of numbers.
Prog. 341,Write a function to convert the given set into ordered tuples.
Prog. 342,Write a function to find the smallest range that includes at-least one element from each of the given arrays.
Prog. 343,Write a function to calculate the number of digits and letters in a string.
Prog. 344,Write a python function to find number of elements with odd factors in a given range.
Prog. 345,Write a function to find the difference between two consecutive numbers in a given list.
Prog. 346,"Write a function to find entringer number e(n, k)."
Prog. 347,Write a python function to count the number of squares in a rectangle.
Prog. 348,Write a function to count sequences of given length having non-negative prefix sums that can be generated by given values.
Prog. 349,Write a python function to check whether the given string is a binary string or not.
Prog. 350,Write a python function to minimize the length of the string by removing occurrence of only one character.
Prog. 351,Write a python function to find the first element occurring k times in a given array.
Prog. 352,Write a python function to check whether all the characters in a given string are unique.
Prog. 353,Write a function to remove a specified column from a given nested list.
Prog. 354,Write a function to find t-nth term of arithemetic progression.
Prog. 355,Write a python function to count the number of rectangles in a circle of radius r.
Prog. 356,Write a function to find the third angle of a triangle using two angles.
Prog. 357,Write a function to find the maximum element of all the given tuple records.
Prog. 358,Write a function to find modulo division of two lists using map and lambda function.
Prog. 359,Write a python function to check whether one root of the quadratic equation is twice of the other or not.
Prog. 360,Write a function to find the n\u2019th carol number.
Prog. 361,Write a function to remove empty lists from a given list of lists.
Prog. 362,Write a python function to find the item with maximum occurrences in a given list.
Prog. 363,Write a function to add the k elements to each element in the tuple.
Prog. 364,Write a function to find the number of flips required to make the given binary string a sequence of alternate characters.
Prog. 365,Write a python function to count the number of digits of a given number.
Prog. 366,Write a python function to find the largest product of the pair of adjacent elements from a given list of integers.
Prog. 367,Write a function to check if a binary tree is balanced or not.
Prog. 368,Write a function to repeat the given tuple n times.
Prog. 369,Write a function to find the lateral surface area of cuboid
Prog. 370,Write a function to sort a tuple by its float element.
Prog. 371,Write a function to find the smallest missing element in a sorted array.
Prog. 372,Write a function to sort a given list of elements in ascending order using heap queue algorithm.
Prog. 373,Write a function to find the volume of a cuboid.
Prog. 374,Write a function to print all permutations of a given string including duplicates.
Prog. 375,Write a function to round the given number to the nearest multiple of a specific number.
Prog. 376,Write a function to remove tuple elements that occur more than once and replace the duplicates with some custom value.
Prog. 377,Write a python function to remove all occurrences of a character in a given string.
Prog. 378,Write a python function to shift last element to first position in the given list.
Prog. 379,Write a function to find the surface area of a cuboid.
Prog. 380,Write a function to generate a two-dimensional array.
Prog. 381,Write a function to sort a list of lists by a given index of the inner list.
Prog. 382,Write a function to find the number of rotations in a circularly sorted array.
Prog. 383,Write a python function to toggle all odd bits of a given number.
Prog. 384,Write a python function to find the frequency of the smallest value in a given array.
Prog. 385,Write a function to find the n'th perrin number using recursion.
Prog. 386,Write a function to find out the minimum no of swaps required for bracket balancing in the given string.
Prog. 387,Write a python function to check whether the hexadecimal number is even or odd.
Prog. 388,Write a python function to find the highest power of 2 that is less than or equal to n.
Prog. 389,Write a function to find the n'th lucas number.
Prog. 390,Write a function to insert a given string at the beginning of all items in a list.
Prog. 391,Write a function to convert more than one list to nested dictionary.
Prog. 392,"Write a function to find the maximum sum possible by using the given equation f(n) = max( (f(n/2) + f(n/3) + f(n/4) + f(n/5)), n)."
Prog. 393,Write a function to find the list with maximum length using lambda function.
Prog. 394,Write a function to check if given tuple is distinct or not.
Prog. 395,Write a python function to find the first non-repeated character in a given string.
Prog. 396,Write a function to check whether the given string starts and ends with the same character or not using regex.
Prog. 397,Write a function to find the median of three specific numbers.
Prog. 398,Write a function to compute the sum of digits of each number of a given list.
Prog. 399,Write a function to perform the mathematical bitwise xor operation across the given tuples.
Prog. 400,Write a function to extract the frequency of unique tuples in the given list order irrespective.
Prog. 401,Write a function to perform index wise addition of tuple elements in the given two nested tuples.
Prog. 402,Write a function to compute the value of ncr%p.
Prog. 403,Write a function to check if a url is valid or not using regex.
Prog. 404,Write a python function to find the minimum of two numbers.
Prog. 405,Write a function to check whether an element exists within a tuple.
Prog. 406,Write a python function to find the parity of a given number.
Prog. 407,Write a function to create the next bigger number by rearranging the digits of a given number.
Prog. 408,Write a function to find k number of pairs which consist of one element from the first array and one element from the second array.
Prog. 409,Write a function to find the minimum product from the pairs of tuples within a given list.
Prog. 410,Write a function to find the minimum value in a given heterogeneous list.
Prog. 411,Write a function to convert the given snake case string to camel case string by using regex.
Prog. 412,Write a python function to remove odd numbers from a given list.
Prog. 413,Write a function to extract the nth element from a given list of tuples.
Prog. 414,Write a python function to check whether the value exists in a sequence or not.
Prog. 415,Write a python function to find a pair with highest product from a given array of integers.
Prog. 416,Write a function to find the maximum sum we can make by dividing number in three parts recursively and summing them up together for the given number.
Prog. 417,Write a function to find common first element in given list of tuple.
Prog. 418,Write a python function to find the sublist having maximum length.
Prog. 419,Write a function to round every number of a given list of numbers and print the total sum multiplied by the length of the list.
Prog. 420,Write a python function to find the cube sum of first n even natural numbers.
Prog. 421,Write a function to concatenate each element of tuple by the delimiter.
Prog. 422,Write a python function to find the average of cubes of first n natural numbers.
Prog. 423,Write a function to solve gold mine problem.
Prog. 424,Write a function to extract only the rear index element of each string in the given tuple.
Prog. 425,Write a function to count the number of sublists containing a particular element.
Prog. 426,Write a function to filter odd numbers using lambda function.
Prog. 427,Write a function to convert a date of yyyy-mm-dd format to dd-mm-yyyy format by using regex.
Prog. 428,Write a function to sort the given array by using shell sort.
Prog. 429,Write a function to extract the elementwise and tuples from the given two tuples.
Prog. 430,Write a function to find the directrix of a parabola.
Prog. 431,Write a function that takes two lists and returns true if they have at least one common element.
Prog. 432,Write a function to find the median of a trapezium.
Prog. 433,Write a function to check whether the entered number is greater than the elements of the given array.
Prog. 434,Write a function that matches a string that has an a followed by one or more b's.
Prog. 435,Write a python function to find the last digit of a given number.
Prog. 436,Write a python function to print negative numbers in a list.
Prog. 437,Write a function to remove odd characters in a string.
Prog. 438,Write a function to count bidirectional tuple pairs.
Prog. 439,Write a function to convert a list of multiple integers into a single integer.
Prog. 440,Write a function to find all adverbs and their positions in a given sentence.
Prog. 441,Write a function to find the surface area of a cube.
Prog. 442,Write a function to find the ration of positive numbers in an array of integers.
Prog. 443,Write a python function to find the largest negative number from the given list.
Prog. 444,Write a function to trim each tuple by k in the given tuple list.
Prog. 445,Write a function to perform index wise multiplication of tuple elements in the given two tuples.
Prog. 446,Write a python function to count the occurence of all elements of list in a tuple.
Prog. 447,Write a function to find cubes of individual elements in a list using lambda function.
Prog. 448,Write a function to calculate the sum of perrin numbers.
Prog. 449,Write a python function to check whether the triangle is valid or not if 3 points are given.
Prog. 450,Write a function to extract specified size of strings from a give list of string values.
Prog. 451,Write a function to remove all whitespaces from the given string using regex.
Prog. 452,Write a function that gives loss amount if the given amount has loss else return none.
Prog. 453,Write a python function to find the sum of even factors of a number.
Prog. 454,Write a function that matches a word containing 'z'.
Prog. 455,Write a function to check whether the given month number contains 31 days or not.
Prog. 456,Write a function to reverse strings in a given list of string values.
Prog. 457,Write a python function to find the sublist having minimum length.
Prog. 458,Write a function to find the area of a rectangle.
Prog. 459,Write a function to remove uppercase substrings from a given string by using regex.
Prog. 460,Write a python function to get the first element of each sublist.
Prog. 461,Write a python function to count the upper case characters in a given string.
Prog. 462,Write a function to find all possible combinations of the elements of a given list.
Prog. 463,Write a function to find the maximum product subarray of the given array.
Prog. 464,Write a function to check if all values are same in a dictionary.
Prog. 465,Write a function to drop empty items from a given dictionary.
Prog. 466,Write a function to find the peak element in the given array.
Prog. 467,Write a python function to convert decimal number to octal number.
Prog. 468,Write a function to find the maximum product formed by multiplying numbers of an increasing subsequence of that array.
Prog. 469,Write a function to find the maximum profit earned from a maximum of k stock transactions
Prog. 470,Write a function to find the pairwise addition of the elements of the given tuples.
Prog. 471,Write a python function to find remainder of array multiplication divided by n.
